SOURCE,TARGET,POSITION,CATEGORY
DUA SATU UTAMA,REYMOND HENDRA PLANGITEN,DIREKTUR,INDIVIDU
ROYAL SILICA NUSANTARA,YULI MARIA LYANAWATI,KOMISARIS,INDIVIDU
ROYAL SILICA NUSANTARA,PT ROYAL PERMATA INDONESIA,BADAN HUKUM,PERUSAHAAN
ROYAL SILICA NUSANTARA,"EDI NASAPTA, S.M",DIREKTUR,INDIVIDU
KARYA CIPTA LAHANINDO,OPPY SANARJO,DIREKTUR,INDIVIDU
KARYA CIPTA LAHANINDO,TITI,KOMISARIS,INDIVIDU
KARYA CIPTA LAHANINDO,PT PELAYARAN KURNIA LAUTAN SEMESTA,BADAN HUKUM,PERUSAHAAN
KARYA CIPTA LAHANINDO,KURNYATJAN SAKTI EFFENDIE,DIREKTUR UTAMA,INDIVIDU
GARUDA PANCA ARTHA,VINCENT JUNIUS,KOMISARIS UTAMA,INDIVIDU
GARUDA PANCA ARTHA,PT PANCA MITRA ARTHA,BADAN HUKUM,PERUSAHAAN
GARUDA PANCA ARTHA,FELIX SAPTAVIANUS,DIREKTUR,INDIVIDU
GARUDA PANCA ARTHA,"BUDI SANTOSO, ST",KOMISARIS,INDIVIDU
GARUDA PANCA ARTHA,PT SINAR MITRA ARTHA,BADAN HUKUM,PERUSAHAAN
GARUDA PANCA ARTHA,"HENDRA BUDYHARJA, SH, SE",DIREKTUR UTAMA,INDIVIDU
KAOLINDO INVESTAMA SENTOSA,OYONG WISMAN,SEKUTU PASIF,INDIVIDU
KAOLINDO INVESTAMA SENTOSA,HENDY,SEKUTU PASIF,INDIVIDU
KAOLINDO INVESTAMA SENTOSA,IRFAN RUSDI,SEKUTU PASIF,INDIVIDU
KAOLINDO INVESTAMA SENTOSA,HENDRI,SEKUTU PASIF,INDIVIDU
KAOLINDO INVESTAMA SENTOSA,RUSTAM RACHMAT,SEKUTU PASIF,INDIVIDU
KAOLINDO INVESTAMA SENTOSA,HERMAWAN DAENG PARANI,SEKUTU PASIF,INDIVIDU
KAOLINDO INVESTAMA SENTOSA,HELYUZAR,"SEKUTU AKTIF,PENGURUS",INDIVIDU
KAOLINDO INVESTAMA SENTOSA,"ARSIANDO CITRA, SE.",SEKUTU PASIF,INDIVIDU
ANUGERAH KREATIF MANDIRI,VIVI VERONICA,,INDIVIDU
ANUGERAH KREATIF MANDIRI,ACIN,KOMISARIS,INDIVIDU
ANUGERAH KREATIF MANDIRI,KENDY,DIREKTUR,INDIVIDU
ALBETA MAJU SUKSES,GUNAWAN,KOMISARIS UTAMA,INDIVIDU
ALBETA MAJU SUKSES,RICHARD CHANDRA,DIREKTUR,INDIVIDU
ALBETA MAJU SUKSES,YUNY FAJARWATY,KOMISARIS,INDIVIDU
SILICA JAYA UTAMA,YONG KIE,SEKUTU PASIF,INDIVIDU
SILICA JAYA UTAMA,ROBI,"SEKUTU AKTIF,PENGURUS",INDIVIDU
PERKASA PARAMA BORNEO,ARYA RIZQI DARSONO,KOMISARIS UTAMA,INDIVIDU
PERKASA PARAMA BORNEO,PT GARPATI DAYA INTEGRA,BADAN HUKUM,PERUSAHAAN
PERKASA PARAMA BORNEO,IRVAN ERLANGGA KUSUMA DANI,DIREKTUR,INDIVIDU
PERKASA PARAMA BORNEO,"STEFANUS KURNIAWAN, SARJANA TEKNIK",DIREKTUR,INDIVIDU
PERKASA PARAMA BORNEO,ANANDA NUGRAHA ANSHARI,DIREKTUR UTAMA,INDIVIDU
PERKASA PARAMA BORNEO,AYI PARYANA,KOMISARIS,INDIVIDU
BAYU MANDIRI PRATAMA,RONY LIE,SEKUTU PASIF,INDIVIDU
BAYU MANDIRI PRATAMA,LASUWA,"SEKUTU AKTIF,PENGURUS",INDIVIDU
PERMATA BATU ITAM,WIDODO BAWONO,DIREKTUR,INDIVIDU
BERKAH SILICA MULIA,UJANG SUKARNAEN,DIREKTUR,INDIVIDU
BERKAH SILICA MULIA,DJOHAN RIDUAN HASAN,KOMISARIS,INDIVIDU
RAJAWALI RIMBA PERKASA,FIRDAUS HIKMI ABDULLAH,,INDIVIDU
RAJAWALI RIMBA PERKASA,ASWAL,KOMISARIS,INDIVIDU
RAJAWALI RIMBA PERKASA,MAHENDRA SUJANA,,INDIVIDU
RAJAWALI RIMBA PERKASA,WAWAN HERWAN SATOMI,DIREKTUR,INDIVIDU
RAJAWALI RIMBA PERKASA,FERRY KAMARIUN,,INDIVIDU
RAJAWALI RIMBA PERKASA,RONAL WIJAYA,,INDIVIDU
RAJAWALI RIMBA PERKASA,HADI WIRATAMA LEGAWA,,INDIVIDU
MITRA PERSADA RESOURCES,PT. KEIKIRA BERSAMA NUSANTARA,BADAN HUKUM,PERUSAHAAN
MITRA PERSADA RESOURCES,HANDRIC,KOMISARIS,INDIVIDU
MITRA PERSADA RESOURCES,IWAN,DIREKTUR,INDIVIDU
MITRA PERSADA RESOURCES,PT. ARMADA SAMUDRA PERSADA,BADAN HUKUM,PERUSAHAAN
BERKAH BANGKA MAJU,FIRMAN,DIREKTUR UTAMA,INDIVIDU
BERKAH BANGKA MAJU,ERWAN ROS,KOMISARIS,INDIVIDU
BERKAH BANGKA MAJU,JIMMY,DIREKTUR,INDIVIDU
BERKAH BANGKA MAJU,ARBI LEO,KOMISARIS UTAMA,INDIVIDU
MANDIRI SEJAHTERA ABADI,"DENI SYAHDANI, SARJANA EKONOMI","SEKUTU AKTIF,PENGURUS",INDIVIDU
MANDIRI SEJAHTERA ABADI,MUHAMMAD ALFI FARHAN,"SEKUTU PASIF,PENGURUS",INDIVIDU
MANDIRI SEJAHTERA ABADI,YOICE SISILIA,"SEKUTU AKTIF,PENGURUS",INDIVIDU
BANGUNAN AGUNG,RACHMAN HAKIM,KOMISARIS UTAMA,INDIVIDU
BANGUNAN AGUNG,PT NIPPINDO KAOLIN ABADI,BADAN HUKUM,PERUSAHAAN
BANGUNAN AGUNG,PT ALTER ABADI,BADAN HUKUM,PERUSAHAAN
BANGUNAN AGUNG,LENY HAKIM,DIREKTUR,INDIVIDU
BANGUNAN AGUNG,NOVITA HAKIM,KOMISARIS,INDIVIDU
BANGUNAN AGUNG,JEFRY HAKIM,DIREKTUR UTAMA,INDIVIDU
BANGUNAN AGUNG,ISKANDAR,DIREKTUR,INDIVIDU
BANGUNAN AGUNG,HARUN CAHYADI,,INDIVIDU
BANGUNAN AGUNG,HARI SOEMANTO,DIREKTUR,INDIVIDU
SARANA MARINDO,RUDI,KOMISARIS,INDIVIDU
SARANA MARINDO,S A A D I,,INDIVIDU
SARANA MARINDO,WIRYADI SUKAMTO,DIREKTUR,INDIVIDU
ERA BARU KWARSA,HERMAWAN DAENG PARANI,,INDIVIDU
ERA BARU KWARSA,RUSTAM RACHMAT,,INDIVIDU
ERA BARU KWARSA,HENDY,KOMISARIS UTAMA,INDIVIDU
ERA BARU KWARSA,OYONG WISMAN,DIREKTUR,INDIVIDU
ERA BARU KWARSA,HELYUZAR,,INDIVIDU
ERA BARU KWARSA,ARSIANDO CITRA SE,KOMISARIS,INDIVIDU
GELORA ABADI PERSADA,PARRISH,DIREKTUR UTAMA,INDIVIDU
GELORA ABADI PERSADA,POHAN BUDIMAN,,INDIVIDU
GELORA ABADI PERSADA,EDY FITRIYANTO,DIREKTUR,INDIVIDU
GELORA ABADI PERSADA,CAROLINE PURNOMO,DIREKTUR,INDIVIDU
GELORA ABADI PERSADA,FREDDY LIMAWAN,KOMISARIS,INDIVIDU
TIMAH INVESTASI MINERAL,SUMARTONO,KOMISARIS,INDIVIDU
TIMAH INVESTASI MINERAL,ARI WIBOWO,DIREKTUR,INDIVIDU
TIMAH INVESTASI MINERAL,KOPERASI KARYAWAN TIMAH MITRA MANDIRI,BADAN HUKUM,INDIVIDU
TIMAH INVESTASI MINERAL,PT TIMAH TBK,BADAN HUKUM,PERUSAHAAN
TIMAH INVESTASI MINERAL,ABDULLAH UMAR,DIREKTUR UTAMA,INDIVIDU
KWARSA PRIMA JAYA,OYONG WISMAN,KOMISARIS,INDIVIDU
KWARSA PRIMA JAYA,HENDY,DIREKTUR,INDIVIDU
KWARSA PRIMA JAYA,ARSIANDO CITRA SE,KOMISARIS UTAMA,INDIVIDU
KWARSA PRIMA JAYA,SILIKA JAYA BARU,BADAN HUKUM,INDIVIDU
KWARSA PRIMA JAYA,HAMPARAN PASIR JAYA,BADAN HUKUM,INDIVIDU
TANJUNG BUKIT NUNGGAL,RIZARD AMRY SIRAT,DIREKTUR UTAMA,INDIVIDU
TANJUNG BUKIT NUNGGAL,PT. VITRAMA PROPERTI,BADAN HUKUM,PERUSAHAAN
TANJUNG BUKIT NUNGGAL,SOFIANI HARAHAP,DIREKTUR,INDIVIDU
TANJUNG BUKIT NUNGGAL,PT. BUMIWARNA AGUNGPERKASA,BADAN HUKUM,PERUSAHAAN
TANJUNG BUKIT NUNGGAL,DIDI SULISTIONO,KOMISARIS,INDIVIDU
BONANZA,LUKMAN WINATA,"SEKUTU AKTIF,PENGURUS",INDIVIDU
BONANZA,ROBERTUS BUDI PRASETYA KURNIAWAN,"SEKUTU PASIF,PENGURUS",INDIVIDU
DUA SATU UTAMA,"JEFRY PONAMON, SE","SEKUTU AKTIF,PENGURUS",INDIVIDU
DUA SATU UTAMA,MUH. RIJAL. M,SEKUTU PASIF,INDIVIDU
DUA SATU UTAMA,SUNARDI,"SEKUTU AKTIF,PENGURUS",INDIVIDU
CAHAYA SURYA MENTARI,SUKANDA GUNAWAN SAKTI EFENDI,SEKUTU PASIF,INDIVIDU
CAHAYA SURYA MENTARI,KURNYATJAN SAKTI EFENDIE,"SEKUTU AKTIF,PENGURUS",INDIVIDU
TIGA BANGUN BERSAMA,FAISAL ISLAMI,"SEKUTU AKTIF,PENGURUS",INDIVIDU
TIGA BANGUN BERSAMA,NADYA ERINA,SEKUTU PASIF,INDIVIDU
TIGA BANGUN BERSAMA,SAIFUL ISLAM,SEKUTU PASIF,INDIVIDU
