,SOURCE,TARGET,POSITION,CATEGORY
767,PT INDO PERSADA SILIKA,JONY CHAYADI,DIREKTUR,INDIVIDU
768,PT INDO PERSADA SILIKA,PT VICTORY UTAMA INVESTAMA,BADAN HUKUM,PERUSAHAAN
769,PT SEJAHTERA UTAMA MITRA MANDIRI,SARJONO SUTRISNO,KOMISARIS,INDIVIDU
770,PT SEJAHTERA UTAMA MITRA MANDIRI,SADIKIN SUTRISNO,DIREKTUR,INDIVIDU
771,CV 3G TRUST,ISA MELKYZEDECK SUHARDIMAN,"Sekutu Aktif,Pengurus",INDIVIDU
772,CV 3G TRUST,IRWIN SAHRONI,"Sekutu Aktif,Pengurus",INDIVIDU
773,CV 3G TRUST,FANDY LINGGA,"Sekutu Pasif,Pengurus",INDIVIDU
774,PT CELESTA SILICA NUSANTARA,YUSMAN ILYAS,"Sekutu Aktif,Pengurus",INDIVIDU
775,PT CELESTA SILICA NUSANTARA,PRAYITNO CATUR NUGROHO,Sekutu Pasif,INDIVIDU
776,PT NIAGA ABADI PERSADA,Pohan Budiman,Sekutu Pasif,INDIVIDU
777,PT NIAGA ABADI PERSADA,Edy Fitriyanto,DIREKTUR,INDIVIDU
778,PT NIAGA ABADI PERSADA,Parrish,DIREKTUR UTAMA,INDIVIDU
779,PT NIAGA ABADI PERSADA,Caroline Purnomo,DIREKTUR,INDIVIDU
780,PT NIAGA ABADI PERSADA,Freddy Limawan,KOMISARIS,INDIVIDU
781,PT BINTANGPUSPITA BUMIDWIPA,TONI KHO,KOMISARIS,INDIVIDU
782,PT BINTANGPUSPITA BUMIDWIPA,YOSUA DEDY HANAFI,DIREKTUR UTAMA,INDIVIDU
783,PT BINTANGPUSPITA BUMIDWIPA,"GUO, QINGJUN",DIREKTUR,INDIVIDU
784,PT BINTANGPUSPITA BUMIDWIPA,DUDY HANAFI,KOMISARIS,INDIVIDU
785,PT ARTHA MINERATAMA LESTARI,AGUS SETYANA DEWI,DIREKTUR,INDIVIDU
786,PT ARTHA MINERATAMA LESTARI,SULISTIA YUNINGSIH,KOMISARIS,INDIVIDU
787,PT ARTHA MINERATAMA LESTARI,ACHMAD ALBANI,KOMISARIS UTAMA,INDIVIDU
788,PT PATRIOT PRIMABUMI PERKASA,"SURYA BATARA KARTIKA, ST.",KOMISARIS,INDIVIDU
789,PT PATRIOT PRIMABUMI PERKASA,FARHAN HASAN,KOMISARIS UTAMA,INDIVIDU
790,PT PATRIOT PRIMABUMI PERKASA,ZAINUDDIN,DIREKTUR,INDIVIDU
791,PT BELITUNG KUARI INDAH,PO KWANG,KOMISARIS,INDIVIDU
792,PT BELITUNG KUARI INDAH,PT PTDELI PRATAMA MINERAL,BADAN HUKUM,PERUSAHAAN
793,PT BELITUNG KUARI INDAH,BUN LAY,DIREKTUR,INDIVIDU
794,PT KAOLINCLAY MINERAL BELITUNG,DEWI SETIAWATI PRAJITNO,DIREKTUR,INDIVIDU
795,PT KAOLINCLAY MINERAL BELITUNG,YOFAN,KOMISARIS,INDIVIDU
796,PT KAOLINCLAY MINERAL BELITUNG,BENNY TANU WIJAYA,KOMISARIS,INDIVIDU
797,PT KAOLINCLAY MINERAL BELITUNG,HENDRA,KOMISARIS,INDIVIDU
798,PT KAOLINCLAY MINERAL BELITUNG,FELIX SISWANTO LIE,KOMISARIS UTAMA,INDIVIDU
799,PT KAOLINCLAY MINERAL BELITUNG,JAMES TJOE,DIREKTUR,INDIVIDU
800,PT BERKAH ALAM BELITONG,RUSTAM RACHMAT,KOMISARIS,INDIVIDU
801,PT BERKAH ALAM BELITONG,OYONG WISMAN,KOMISARIS,INDIVIDU
802,PT BERKAH ALAM BELITONG,HERMAWAN DAENG PARANI,KOMISARIS,INDIVIDU
803,PT BERKAH ALAM BELITONG,HENDY,KOMISARIS,INDIVIDU
804,PT BERKAH ALAM BELITONG,HELYUZAR,DIREKTUR,INDIVIDU
805,PT BERKAH ALAM BELITONG,ARSIANDO CITRA SE,DIREKTUR,INDIVIDU
806,PT SINAR SUMBER DAYA BELITONG,OYONG WISMAN,DIREKTUR,INDIVIDU
807,PT SINAR SUMBER DAYA BELITONG,HENDY,DIREKTUR,INDIVIDU
808,PT SINAR SUMBER DAYA BELITONG,ARSIANDO CITRA SE,DIREKTUR,INDIVIDU
809,PT SINAR SUMBER DAYA BELITONG,RUSTAM RACHMAT,KOMISARIS,INDIVIDU
810,PT SINAR SUMBER DAYA BELITONG,HERMAWAN DAENG PARANI,KOMISARIS,INDIVIDU
811,PT SINAR SUMBER DAYA BELITONG,HELYUZAR,KOMISARIS,INDIVIDU
812,PT LAUTAN SINERGI PASIRINDO,BENNY ANDREA,KOMISARIS,INDIVIDU
813,PT LAUTAN SINERGI PASIRINDO,SIONG THAK,KOMISARIS,INDIVIDU
814,PT LAUTAN SINERGI PASIRINDO,ANNASUL HAKIM,DIREKTUR,INDIVIDU
815,PT TIMUR BELITUNG SEJAHTERA,BENNY ANDREA,DIREKTUR,INDIVIDU
816,PT TIMUR BELITUNG SEJAHTERA,SIONG THAK,KOMISARIS,INDIVIDU
817,PT TIMUR BELITUNG SEJAHTERA,DEDI ISKANDAR,DIREKTUR,INDIVIDU
818,PT KONG LUNG MINING,WYLLIANTO,DIREKTUR,INDIVIDU
819,PT KONG LUNG MINING,MARWANI WONG,KOMISARIS,INDIVIDU
820,PT BILLITON PRIMA RESOURCES,HARDJA TJAHJADI,KOMISARIS,INDIVIDU
821,PT BILLITON PRIMA RESOURCES,FERDI FERARI,DIREKTUR,INDIVIDU
822,PT BUKIT HIJAU PANGKALAN BARU,DODY PRASETYO,DIREKTUR,INDIVIDU
823,PT BUKIT HIJAU PANGKALAN BARU,GERALD GARCIA,KOMISARIS,INDIVIDU
824,PT BUKIT HIJAU PANGKALAN BARU,"IR Thomas Jusman, MM.",KOMISARIS,INDIVIDU
825,PT BUKIT HIJAU PANGKALAN BARU,"SITI KHAERUN NISA S.Psi.,M.Psi.",KOMISARIS UTAMA,INDIVIDU
826,PT SATUNUSA PILAR MINING,MALVIN MULJADI,DIREKTUR,INDIVIDU
827,PT SATUNUSA PILAR MINING,ERNI HAKIM,KOMISARIS,INDIVIDU
828,PT BERKAT ASIA MINERALINDO,ISKENDI,KOMISARIS,INDIVIDU
829,PT BERKAT ASIA MINERALINDO,TAHIR ISKANDAR,DIREKTUR,INDIVIDU
830,PT BERLIAN SISI BARAT,YUSMAN ILYAS,"Sekutu Aktif,Pengurus",INDIVIDU
831,PT BERLIAN SISI BARAT,PRAYITNO CATUR NUGROHO,Sekutu Pasif,INDIVIDU
832,PT BERKAH BERSAMA RESOURCES,SIONG THAK,KOMISARIS,INDIVIDU
833,PT BERKAH BERSAMA RESOURCES,BENNY ANDREA,WAKIL DIREKTUR,INDIVIDU
834,PT BERKAH BERSAMA RESOURCES,DEDI ISKANDAR,DIREKTUR,INDIVIDU
835,PT CAHAYA CELESTA NUSANTARA,"NUNUNG KURNIA, S.H",Sekutu Pasif,INDIVIDU
836,PT CAHAYA CELESTA NUSANTARA,IR TRISAKTI YANDI,"Sekutu Aktif,Pengurus",INDIVIDU
837,PT ANUGRAH MINING NUSANTARA,STEVEN,KOMISARIS,INDIVIDU
838,PT ANUGRAH MINING NUSANTARA,MARDIANA,DIREKTUR,INDIVIDU
839,PT HAMPARAN PASIR JAYA,HERMAWAN DAENG PARANI,DIREKTUR,INDIVIDU
840,PT HAMPARAN PASIR JAYA,HENDY,DIREKTUR,INDIVIDU
841,PT HAMPARAN PASIR JAYA,RUSTAM RACHMAT,DIREKTUR,INDIVIDU
842,PT HAMPARAN PASIR JAYA,ARSIANDO CITRA SE,KOMISARIS,INDIVIDU
843,PT HAMPARAN PASIR JAYA,OYONG WISMAN,KOMISARIS,INDIVIDU
844,PT HAMPARAN PASIR JAYA,HELYUZAR,DIREKTUR,INDIVIDU
845,PT ARTABUMI SENTOSA INDONESIA,GANJAR JATMIKO,KOMISARIS,INDIVIDU
846,PT ARTABUMI SENTOSA INDONESIA,"Dr. H. BAMBANG DWI HARTONO, M.Si",DIREKTUR,INDIVIDU
847,PT ARTABUMI SENTOSA INDONESIA,MUHAMMAD KUNCORO CANDRA WINATA,KOMISARIS UTAMA,INDIVIDU
848,PT ARTABUMI SENTOSA INDONESIA,"TJHIN JOEN SEN, ST",DIREKTUR,INDIVIDU
849,PT ARTABUMI SENTOSA INDONESIA,"HALIM ANTAWIRA HERMANTO, SH",DIREKTUR UTAMA,INDIVIDU
850,PT ARTABUMI SENTOSA INDONESIA,ADI SANTOSO,KOMISARIS,INDIVIDU
851,PT ARTABUMI SENTOSA INDONESIA,PT TRI MANUNGGAL SENTOSA,BADAN HUKUM,PERUSAHAAN
852,PT SINAR SUMBER ALAM NATUNA,PT RUSTAM RACHMAT,BADAN HUKUM,PERUSAHAAN
853,PT SINAR SUMBER ALAM NATUNA,PT OYONG WISMAN,BADAN HUKUM,PERUSAHAAN
854,PT SINAR SUMBER ALAM NATUNA,HENDY,KOMISARIS,INDIVIDU
855,PT SINAR SUMBER ALAM NATUNA,HERMAWAN DAENG PARANI,KOMISARIS,INDIVIDU
856,PT SINAR SUMBER ALAM NATUNA,HELYUZAR,KOMISARIS,INDIVIDU
857,PT SINAR SUMBER ALAM NATUNA,ARSIANDO CITRA SE,DIREKTUR,INDIVIDU
858,PT BERKAH SUMBER DAYA BELITONG,RUSTAM RACHMAT,DIREKTUR,INDIVIDU
859,PT BERKAH SUMBER DAYA BELITONG,OYONG WISMAN,DIREKTUR,INDIVIDU
860,PT BERKAH SUMBER DAYA BELITONG,HERMAWAN DAENG PARANI,DIREKTUR,INDIVIDU
861,PT BERKAH SUMBER DAYA BELITONG,HENDY,DIREKTUR,INDIVIDU
862,PT BERKAH SUMBER DAYA BELITONG,HELYUZAR,KOMISARIS,INDIVIDU
863,PT BERKAH SUMBER DAYA BELITONG,ARSIANDO CITRA SE,KOMISARIS,INDIVIDU
864,PT TRI BINTANG ABADI SEJAHTERA,SITI HAFSOH,KOMISARIS,INDIVIDU
865,PT TRI BINTANG ABADI SEJAHTERA,DWI KOMALA SARI,DIREKTUR,INDIVIDU
866,PT PASIFIK AMANIA MANDIRI,PT ARKADIA MANDIRI SEJAHTERA,BADAN HUKUM,PERUSAHAAN
867,PT PASIFIK AMANIA MANDIRI,TRISNO MUJI SANTOSO,DIREKTUR,INDIVIDU
868,PT PASIFIK AMANIA MANDIRI,PT PRAMANUSA RAYA UTAMA,BADAN HUKUM,PERUSAHAAN
869,PT PASIFIK AMANIA MANDIRI,IRVANBER HASIBUAN,KOMISARIS,INDIVIDU
870,PT PEMATANG SUMBER JAYA,PT ARKADIA MANDIRI SEJAHTERA,BADAN HUKUM,PERUSAHAAN
871,PT PEMATANG SUMBER JAYA,TRISNO MUJI SANTOSO,DIREKTUR,INDIVIDU
872,PT PEMATANG SUMBER JAYA,PT PRAMANUSA RAYA UTAMA,BADAN HUKUM,PERUSAHAAN
873,PT PEMATANG SUMBER JAYA,IRVANBER HASIBUAN,KOMISARIS,INDIVIDU
874,PT BERLIAN CAHAYA TIMUR,"NUNUNG KURNIA, S.H","Sekutu Pasif,Pengurus",INDIVIDU
