,SOURCE,TARGET,POSITION,CATEGORY
1139,PT MITRA GRAHA RAYA,"SHERLY WANTO, SE",KOMISARIS UTAMA,INDIVIDU
1140,PT MITRA GRAHA RAYA,MAYLINASTUTI,DIREKTUR,INDIVIDU
1141,PT MITRA GRAHA RAYA,PT NOBLE CAPITAL,BADAN HUKUM,PERUSAHAAN
1142,PT MITRA GRAHA RAYA,ANTONIUS ANINDITYA ABIRAMA,KOMISARIS,INDIVIDU
1143,PT NOBLE CAPITAL,RIRIN ENDANG DIATRI,KOMISARIS UTAMA,INDIVIDU
1144,PT NOBLE CAPITAL,MAYLINASTUTI,KOMISARIS,INDIVIDU
1145,PT NOBLE CAPITAL,ANTONIUS RICHARDUS ANGGORO SETYO,DIREKTUR,INDIVIDU
1146,PT PELAYARAN TANJUNGBAHARI PERKASA,VALENCIA VENLY,DIREKTUR,INDIVIDU
1147,PT PELAYARAN TANJUNGBAHARI PERKASA,TJONG FRISKA NATALIA,KOMISARIS,INDIVIDU
1148,PT PELAYARAN TANJUNGBAHARI PERKASA,SIONG THAK,DIREKTUR,INDIVIDU
1149,PT PELAYARAN TANJUNGBAHARI PERKASA,JULIUS CHANDRA,DIREKTUR UTAMA,INDIVIDU
1150,PT PELAYARAN TANJUNGBAHARI PERKASA,JESSICA VENLY,DIREKTUR UTAMA,INDIVIDU
1151,PT PERUSAHAAN PERSEROAN (PERSERO) MINERAL INDUSTRI INDONESIA,ASTERA PRIMANTO BHAKTI,KOMISARIS,INDIVIDU
1152,PT PERUSAHAAN PERSEROAN (PERSERO) MINERAL INDUSTRI INDONESIA,DANY AMRUL ICHDAN,DIREKTUR,INDIVIDU
1154,PT PRAMANUSA RAYA UTAMA,PT PIRUS SUMBER SEJAHTERA,BADAN HUKUM,PERUSAHAAN
1155,PT PRAMANUSA RAYA UTAMA,TRISNO MUJI SANTOSO,DIREKTUR,INDIVIDU
1156,PT PRAMANUSA RAYA UTAMA,PT PIRUS RAYA PERKASA,BADAN HUKUM,PERUSAHAAN
1157,PT PRAMANUSA RAYA UTAMA,IRVANBER HASIBUAN,KOMISARIS,INDIVIDU
1158,PT PRESTASI PELUMASINDO UNGGUL,HERMAN ROESLI,DIREKTUR UTAMA,INDIVIDU
1159,PT PRESTASI PELUMASINDO UNGGUL,ANGELA DARIA LOLA S,KOMISARIS,INDIVIDU
1160,PT PRESTASI PELUMASINDO UNGGUL,MICHAEL ROESLI,DIREKTUR,INDIVIDU
1161,PT PRIMA JAYA MINERAL,PT MINERAL JAYA PERSADA,BADAN HUKUM,PERUSAHAAN
1162,PT PRIMA JAYA MINERAL,PT MARSHINDO BUMI MINERAL,BADAN HUKUM,PERUSAHAAN
1163,PT PRIMA JAYA MINERAL,MARSHELLE SUNJOTO,KOMISARIS,INDIVIDU
1164,PT PRIMA JAYA MINERAL,TANTIONO,DIREKTUR,INDIVIDU
1165,PT PROFITAMA HARJAYA INDAH,PT PROFITAMA HARAPAN INDAH,BADAN HUKUM,PERUSAHAAN
1166,PT PROFITAMA HARJAYA INDAH,SUSANTO,DIREKTUR,INDIVIDU
1167,PT PROFITAMA HARJAYA INDAH,SOEKARDI,Komisaris,INDIVIDU
1168,PT RESOURCES CAPITAL,MAX MELKYZEDECK SUHARDIMAN,DIREKTUR,INDIVIDU
1169,PT RESOURCES CAPITAL,HENDRIK SUHARDIMAN,KOMISARIS,INDIVIDU
1170,PT RESOURCES CAPITAL,ISA MELKYZEDECK SUHARDIMAN,DIREKTUR UTAMA,INDIVIDU
1171,PT SARANA MARINDO,S A A D I,KOMISARIS,INDIVIDU
1172,PT SEIRAMA TIN INVESTMENT,TJEUW JIT KONG,DIREKTUR,INDIVIDU
1173,PT SEIRAMA TIN INVESTMENT,FERRY KAMARIUN,KOMISARIS,INDIVIDU
1174,PT SEIRAMA TIN INVESTMENT,RONAL WIJAYA,KOMISARIS,INDIVIDU
1175,PT SEKAWAN TRIASIH ABADI,HERMAN ROESLI,DIREKTUR,INDIVIDU
1176,PT SEKAWAN TRIASIH ABADI,ANDREW ROESLI,KOMISARIS,INDIVIDU
1177,PT SILIKA UTAMA JAYA,HERMAWAN DAENG PARANI,KOMISARIS,INDIVIDU
1178,PT SILIKA UTAMA JAYA,OYONG WISMAN,KOMISARIS,INDIVIDU
1179,PT SILIKA UTAMA JAYA,RUSTAM RACHMAT,KOMISARIS,INDIVIDU
1180,PT SILIKA UTAMA JAYA,HENDY,DIREKTUR,INDIVIDU
1181,PT SILIKA UTAMA JAYA,HELYUZAR,DIREKTUR,INDIVIDU
1182,PT SILIKA UTAMA JAYA,ARSIANDO CITRA SE,DIREKTUR,INDIVIDU
1183,PT SINAR MINERAL SEJATI,CHRISTIAN SALIM,KOMISARIS,INDIVIDU
1184,PT SINAR MINERAL SEJATI,ARMAN ADHI KUSUMA RACHMAT,KOMISARIS,INDIVIDU
1185,PT SINAR MINERAL SEJATI,LEON GIRTON,DIREKTUR,INDIVIDU
1186,PT SUBUR BUMI MINERAL,CHRISTIAN SALIM,DIREKTUR,INDIVIDU
1187,PT SUBUR BUMI MINERAL,ARMAN ADHI KUSUMA RACHMAT,DIREKTUR,INDIVIDU
1188,PT SUBUR BUMI MINERAL,LEON GIRTON,KOMISARIS,INDIVIDU
1189,PT SUMBER LOGINDO ALAM,STEVANUS TRI DARMA,DIREKTUR,INDIVIDU
1190,PT SUMBER LOGINDO ALAM,PT LOMASASTA MINERALINDO,BADAN HUKUM,PERUSAHAAN
1191,PT SUMBER LOGINDO ALAM,HENDRY LIE,KOMISARIS,INDIVIDU
1192,PT SUMBER LOGINDO ALAM,CANDRA PRAWIRA,DIREKTUR UTAMA,INDIVIDU
1193,PT SYNERGI MAKMUR INVESTAMA,SUWANDY BUSLIN,DIREKTUR UTAMA,INDIVIDU
1194,PT SYNERGI MAKMUR INVESTAMA,TASKIN,KOMISARIS,INDIVIDU
1195,PT SYNERGI MAKMUR INVESTAMA,NANA SYAHBANA,DIREKTUR,INDIVIDU
1196,PT SYNERGI MAKMUR INVESTAMA,MUHLIS NAHWI,DIREKTUR UTAMA,INDIVIDU
1197,PT SUWARNA SANTIKA WIJAYA,JIMMY,DIREKTUR,INDIVIDU
1198,PT SUWARNA SANTIKA WIJAYA,HEELY ADISUHANTO,KOMISARIS UTAMA,INDIVIDU
1199,PT SUWARNA SANTIKA WIJAYA,VIONA,KOMISARIS,INDIVIDU
1200,PT TAMBANG WANCHENG INDONESIA,"LONG, HANFANG",KOMISARIS,INDIVIDU
1201,PT TAMBANG WANCHENG INDONESIA,"LI, KUNFANG",DIREKTUR,INDIVIDU
1202,PT TOMMY MITRA INVESTAMA,LOW GUAN YUAN,DIREKTUR,INDIVIDU
1203,PT TOMMY MITRA INVESTAMA,"PT TF EXCHANGE, PTE., LTD",BADAN HUKUM,PERUSAHAAN
1204,PT TOMMY MITRA INVESTAMA,TONI SISWOYUDHO,KOMISARIS,INDIVIDU
1205,PT TRACO INDOTAMA MANDIRI,ANDREW AGUERO HERWIN,KOMISARIS,INDIVIDU
1206,PT TRACO INDOTAMA MANDIRI,CLARENCE GRACELLA HERWIN,KOMISARIS,INDIVIDU
1207,PT TRACO INDOTAMA MANDIRI,WIN WIN,KOMISARIS,INDIVIDU
1208,PT TRACO INDOTAMA MANDIRI,HERIE,DIREKTUR,INDIVIDU
1209,PT TRI MANUNGGAL SENTOSA,ARIF SANTOSO,KOMISARIS UTAMA,INDIVIDU
1210,PT TRI MANUNGGAL SENTOSA,YULIANA SANTOSO,KOMISARIS,INDIVIDU
1211,PT TRI MANUNGGAL SENTOSA,SANTOSO WIJAYA,DIREKTUR UTAMA,INDIVIDU
1212,PT TRI MANUNGGAL SENTOSA,ADI SANTOSO,DIREKTUR,INDIVIDU
1213,PT VICTORY UTAMA INVESTAMA,WINI NOVIANTY,DIREKTUR,INDIVIDU
1214,PT VICTORY UTAMA INVESTAMA,JONY CHAYADI,KOMISARIS,INDIVIDU
1215,PT ARMADA SAMUDRA PERSADA,RIO RAKHMAT BRAMANTIO,KOMISARIS UTAMA,INDIVIDU
1216,PT ARMADA SAMUDRA PERSADA,WILLIAN,DIREKTUR,INDIVIDU
1217,PT ARMADA SAMUDRA PERSADA,HANDRIC,KOMISARIS,INDIVIDU
1218,PT ARSARI PRADANA UTAMA,HASHIM S DJOJOHADIKUSUMO,DIREKTUR,INDIVIDU
1219,PT ARSARI PRADANA UTAMA,ANIE H DJOJOHADIKUSUMO,KOMISARIS,INDIVIDU
1220,PT ARSARI PRADANA UTAMA,SITIE INDRAWATI DJOJOHADIKUSUMO,KOMISARIS,INDIVIDU
1221,PT AZZAHRA CITRA PERKASA,ARYA RIZQI DARSONO,DIREKTUR,INDIVIDU
1222,PT AZZAHRA CITRA PERKASA,ARYA HENDRA DARSONO,KOMISARIS,INDIVIDU
1223,PT AZZAHRA CITRA PERKASA,AJENG SHASTRI LESTYARIANI,KOMISARIS UTAMA,INDIVIDU
1224,PT CAHAYA INTAN,BAMBANG SJAMSURIDZAL ATMADJA,KOMISARIS,INDIVIDU
1225,PT CAHAYA INTAN,DANIEL FREDERIK POLUAN,DIREKTUR,INDIVIDU
1226,PT CAHAYA INTAN,HASHIM S DJOJOHADIKUSUMO,DIREKTUR,INDIVIDU
1227,PT CAHAYA INTAN,PT ARSARI PRATAMA,BADAN HUKUM,PERUSAHAAN
1228,PT CAKRA PRATAMA ABADI,SILVIA YAP,KOMISARIS,INDIVIDU
1229,PT CAKRA PRATAMA ABADI,JOHNNY DJUARI,DIREKTUR,INDIVIDU
1230,PT CAKRA PRATAMA ABADI,TANTIONO,DIREKTUR UTAMA,INDIVIDU
1231,PT DELI INDONESIA RAYA,LAI HONG,DIREKTUR UTAMA,INDIVIDU
1232,PT DELI INDONESIA RAYA,LIMAS ANANTO,DIREKTUR UTAMA,INDIVIDU
1233,PT DELI INDONESIA RAYA,DJUNAIDI HARDI,KOMISARIS UTAMA,INDIVIDU
1234,PT DELI INDONESIA RAYA,JUHADI,DIREKTUR,INDIVIDU
1235,PT DELI INDONESIA RAYA,ARIFIN / ARIFIN TAN,DIREKTUR,INDIVIDU
1236,PT DELI INDONESIA RAYA,RATIH ANGGARAINI,DIREKTUR,INDIVIDU
1237,PT DELI INDONESIA RAYA,ARIFIN,KOMISARIS,INDIVIDU
1238,PT DELI PRATAMA NUSANTARA,SUKI,KOMISARIS,INDIVIDU
1239,PT DELI PRATAMA NUSANTARA,HARYANTO SOFIAN,DIREKTUR,INDIVIDU
1240,PT DELI PRATAMA NUSANTARA,PT DELI SAHABAT SEJAHTERA,BADAN HUKUM,PERUSAHAAN
1241,PT DELI PRATAMA NUSANTARA,PT SINAR DELI,BADAN HUKUM,PERUSAHAAN
1242,PT DELI PRATAMA NUSANTARA,PT DELI INDONESIA RAYA,BADAN HUKUM,PERUSAHAAN
1243,PT HAKIMPERKASA INTERNIAGA,Novita Hakim,DIREKTUR,INDIVIDU
1244,PT KEIKIRA BERSAMA NUSANTARA,PENNY IRIANA TRIKAMANDANI,KOMISARIS,INDIVIDU
1245,PT KEIKIRA BERSAMA NUSANTARA,RIO RAKHMAT BRAMANTIO,DIREKTUR,INDIVIDU
1246,PT KOMPAK SAHABAT BERJAYA,ARBI LEO,KOMISARIS UTAMA,INDIVIDU
1247,PT KOMPAK SAHABAT BERJAYA,NJO HENDWI WIJAYA,KOMISARIS,INDIVIDU
1248,PT KOMPAK SAHABAT BERJAYA,ANDRIAS WIBOWO,DIREKTUR,INDIVIDU
1249,PT MANTRA DAHANA INVESTA,ANANDA NUGRAHA ANSHARI,DIREKTUR,INDIVIDU
1250,PT MANTRA DAHANA INVESTA,DZAKI ADINDA HUSNA,KOMISARIS,INDIVIDU
1251,PT MULIA ANUGERAH SEJAHTERA,JEREMY SUHARDIMAN,DIREKTUR,INDIVIDU
1252,PT MULIA ANUGERAH SEJAHTERA,MAX MELKYZEDECK SUHARDIMAN,DIREKTUR,INDIVIDU
1253,PT MULIA ANUGERAH SEJAHTERA,PT SUN MEDIA PRATAMA,BADAN HUKUM,PERUSAHAAN
1254,PT MULIA ANUGERAH SEJAHTERA,DANIEL SUHARDIMAN,DIREKTUR,INDIVIDU
1255,PT MULIA ANUGERAH SEJAHTERA,ISA MELKYZEDECK SUHARDIMAN,KOMISARIS,INDIVIDU
1256,PT MULIA ANUGERAH SEJAHTERA,HENDRIK SUHARDIMAN,KOMISARIS UTAMA,INDIVIDU
1257,PT MULIA ANUGERAH SEJAHTERA,TEGUH PAMUDJI YUSUF,DIREKTUR UTAMA,INDIVIDU
1258,PT MULIA ANUGERAH SEJAHTERA,JOHNY SUHARDIMAN,KOMISARIS,INDIVIDU
1259,PT MULTITAMA BAKTI GEMILANG,TANTIONO,DIREKTUR,INDIVIDU
1260,PT MULTITAMA BAKTI GEMILANG,SILVIA YAP,KOMISARIS,INDIVIDU
1261,PT MULTITAMA BAKTI GEMILANG,PT TRI JAYA PRAKARSA,BADAN HUKUM,PERUSAHAAN
1262,PT MULTITAMA BAKTI GEMILANG,PT PRIMARINDO RAYA SEJAHTERA,BADAN HUKUM,PERUSAHAAN
1263,PT MULTITAMA BAKTI GEMILANG,PT ADIKARSA JAYA KENCANA,BADAN HUKUM,PERUSAHAAN
1264,PT MULTITAMA BAKTI GEMILANG,PT CAKRA PRATAMA ABADI,BADAN HUKUM,PERUSAHAAN
1265,PT NIPSEA MARTAPURA,MEITJE KUSNADI,KOMISARIS,INDIVIDU
1266,PT NIPSEA MARTAPURA,HARI SOEMANTO,DIREKTUR,INDIVIDU
1267,PT NIPSEA MARTAPURA,LENY HAKIM,PRESIDEN KOMISARIS,INDIVIDU
1268,PT NIPSEA MARTAPURA,JEFRY HAKIM,DIREKTUR,INDIVIDU
1269,PT NIPSEA MARTAPURA,Rachman Hakim,PRESIDEN DIREKTUR,INDIVIDU
1270,PT NIPSEA MARTAPURA,PT Alter Abadi Tbk,BADAN HUKUM,PERUSAHAAN
1271,PT SINAR DELI,ARIFIN,KOMISARIS,INDIVIDU
1272,PT SINAR DELI,"MIKY BARRITO PUTRA, ST.",DIREKTUR,INDIVIDU
1273,PT SINAR DELI,JUHADI,DIREKTUR,INDIVIDU
1274,PT SINAR DELI,PT DELI INDONESIA SEJAHTERA,BADAN HUKUM,PERUSAHAAN
1275,PT ADIKARSA JAYA KENCANA,SILVIA YAP,KOMISARIS,INDIVIDU
1276,PT ADIKARSA JAYA KENCANA,PT CAKRA PRATAMA ABADI,BADAN HUKUM,PERUSAHAAN
1277,PT ADIKARSA JAYA KENCANA,TANTIONO,DIREKTUR,INDIVIDU
1278,PT ARSARI PRATAMA,SITIE INDRAWATI DJOJOHADIKUSUMO,DIREKTUR,INDIVIDU
1279,PT ARSARI PRATAMA,HASHIM S DJOJOHADIKUSUMO,DIREKTUR UTAMA,INDIVIDU
1280,PT ARSARI PRATAMA,ARYO P S DJOJOHADIKUSUMO,KOMISARIS,INDIVIDU
1281,PT ARSARI PRATAMA,THOMAS A M DJIWANDONO,DIREKTUR,INDIVIDU
1282,PT ARSARI PRATAMA,R SARASWATI D DJOJOHADIKUSUMO,KOMISARIS,INDIVIDU
1283,PT ARSARI PRATAMA,ANIE H DJOJOHADIKUSUMO,KOMISARIS UTAMA,INDIVIDU
1284,PT ARSARI PRATAMA,BAMBANG SJAMSURIDZAL ATMADJA,DIREKTUR,INDIVIDU
1285,PT DELI SAHABAT SEJAHTERA,PT DUTA PRATAMA SINTRA,BADAN HUKUM,PERUSAHAAN
1286,PT DELI SAHABAT SEJAHTERA,SUKI,KOMISARIS,INDIVIDU
1287,PT DELI SAHABAT SEJAHTERA,PT DELI INDONESIA RAYA,BADAN HUKUM,PERUSAHAAN
1288,PT DELI SAHABAT SEJAHTERA,PT TRIUM PUTRA PRIMA,BADAN HUKUM,PERUSAHAAN
1289,PT DELI SAHABAT SEJAHTERA,HARYANTO SOFIAN,DIREKTUR,INDIVIDU
1290,PT PRIMARINDO RAYA SEJAHTERA,SILVIA YAP,KOMISARIS,INDIVIDU
1291,PT PRIMARINDO RAYA SEJAHTERA,PT CAKRA PRATAMA ABADI,BADAN HUKUM,PERUSAHAAN
1292,PT PRIMARINDO RAYA SEJAHTERA,TANTIONO,DIREKTUR,INDIVIDU
1293,PT SUN MEDIA PRATAMA,JEREMY SUHARDIMAN,DIREKTUR,INDIVIDU
1294,PT SUN MEDIA PRATAMA,TEGUH PAMUDJI YUSUF,DIREKTUR UTAMA,INDIVIDU
1295,PT SUN MEDIA PRATAMA,JOHNY SUHARDIMAN,KOMISARIS,INDIVIDU
1296,PT SUN MEDIA PRATAMA,ISA MELKYZEDECK SUHARDIMAN,KOMISARIS,INDIVIDU
1297,PT SUN MEDIA PRATAMA,MAX MELKYZEDECK SUHARDIMAN,DIREKTUR,INDIVIDU
1298,PT SUN MEDIA PRATAMA,HENDRIK SUHARDIMAN,KOMISARIS UTAMA,INDIVIDU
1299,PT SUN MEDIA PRATAMA,IWAN SUHARDIMAN,KOMISARIS UTAMA,INDIVIDU
1300,PT TRI JAYA PRAKARSA,SILVIA YAP,KOMISARIS,INDIVIDU
1301,PT TRI JAYA PRAKARSA,PT CAKRA PRATAMA ABADI,BADAN HUKUM,PERUSAHAAN
1302,PT TRI JAYA PRAKARSA,TANTIONO,DIREKTUR,INDIVIDU
1303,PT HAKIMPERKASA INTERNIAGA,Novita Hakim,KOMISARIS,INDIVIDU
1304,PT DUTA PRATAMA SINTRA,FAM MUI CIN,KOMISARIS,INDIVIDU
1305,PT DUTA PRATAMA SINTRA,SUKI,DIREKTUR,INDIVIDU
1306,PT TRIUM PUTRA PRIMA,NURAINI,KOMISARIS,INDIVIDU
1307,PT TRIUM PUTRA PRIMA,KEVIN KLENSIA,KOMISARIS,INDIVIDU
1308,PT TRIUM PUTRA PRIMA,HARYANTO SOFIAN,DIREKTUR,INDIVIDU
1309,PT HAKIMPERKASA INTERNIAGA,Novita Hakim,DIREKTUR UTAMA,INDIVIDU
1310,PT BILITON PRIMA MINERAL,KIRTIADI HOTAMA,DIREKTUR,INDIVIDU
1311,PT BILITON PRIMA MINERAL,HAWANTO HARTONO,KOMISARIS,INDIVIDU
1312,PT NAGA LASKAR PELANGI,WYLLIANTO,DIREKTUR UTAMA,INDIVIDU
1313,PT NAGA LASKAR PELANGI,TJEN JUNG SEN,KOMISARIS UTAMA,INDIVIDU
1314,PT NAGA LASKAR PELANGI,IRWANDA,DIREKTUR,INDIVIDU
1315,PT NAGA LASKAR PELANGI,ERVAN IFYAN HANSEL,DIREKTUR,INDIVIDU
1316,PT NAGA LASKAR PELANGI,URIP BUDIANTO,KOMISARIS,INDIVIDU
1317,PT KARUNIA ALAM BERSAMA,CHRISTOPHER PUTRA GUNAWAN,DIREKTUR,INDIVIDU
1318,PT KARUNIA ALAM BERSAMA,HARIANTO GUNAWAN,KOMISARIS,INDIVIDU
1319,PT BELANTARA JAYA LESTARI,DONY KURNIAWAN,,INDIVIDU
1320,PT BELANTARA JAYA LESTARI,HERMANTO,KOMISARIS,INDIVIDU
1321,PT BELANTARA JAYA LESTARI,RIDHO FALOMA,DIREKTUR,INDIVIDU
1322,PT BELANTARA JAYA LESTARI,PT CANDRA LESTARI SEJAHTERA,BADAN HUKUM,PERUSAHAAN
1323,PT BELANTARA JAYA LESTARI,PT TRACO INDOTAMA MANDIRI,BADAN HUKUM,PERUSAHAAN
1324,PT BELANTARA JAYA LESTARI,PT BERDIKARI SEJAHTERA SENTOSA,BADAN HUKUM,PERUSAHAAN
1325,PT BERKAH SAMUDERA SEMESTA,CHRISTOPHER PUTRA GUNAWAN,DIREKTUR,INDIVIDU
1326,PT BERKAH SAMUDERA SEMESTA,HARIANTO GUNAWAN,KOMISARIS,INDIVIDU
1327,PT TELAGA INTAN PUTIH,SIGARLAKY ROTINSULU,DIREKTUR,INDIVIDU
1328,PT TELAGA INTAN PUTIH,MAUREEN LANIE ESTER ROTINSULU,KOMISARIS,INDIVIDU
1329,PT TELAGA INTAN PUTIH,SAMUEL PHILLIPS ROTINSULU,DIREKTUR UTAMA,INDIVIDU
1330,PT REZEKI SAMUDERA JAYA,CHRISTOPHER PUTRA GUNAWAN,DIREKTUR,INDIVIDU
1331,PT REZEKI SAMUDERA JAYA,HARIANTO GUNAWAN,KOMISARIS,INDIVIDU
1332,PT SWAKARSA TAMBANG INDONESIA,HENDRO,KOMISARIS,INDIVIDU
1333,PT SWAKARSA TAMBANG INDONESIA,HERMAN BUDIYANTO,DIREKTUR,INDIVIDU
1334,PT BATARA PANCAR JAYA MINERAL,LUXOR ANDI WIJAYA,DIREKTUR,INDIVIDU
1335,PT BATARA PANCAR JAYA MINERAL,BRAHM PRANATA,KOMISARIS,INDIVIDU
1336,PT BATARA PANCAR JAYA MINERAL,LILI HENDRAWATI,KOMISARIS UTAMA,INDIVIDU
1337,PT DUTA WATU GEOTEK,ZAINUDDIN,DIREKTUR,INDIVIDU
1338,PT DUTA WATU GEOTEK,AMBARSARI DWICAHYANI,KOMISARIS,INDIVIDU
1339,PT TIGA BANGUN BERSAMA,EDY SUN,KOMISARIS,INDIVIDU
1340,PT TIGA BANGUN BERSAMA,BASIRAN,DIREKTUR,INDIVIDU
1341,PT BASKARA SILICA MAKMUR,DJOHAN RIDUAN HASAN,KOMISARIS,INDIVIDU
1342,PT BASKARA SILICA MAKMUR,JAMES LOUIS,DIREKTUR,INDIVIDU
1343,PT INDAHSANA LESTARI JAYA,HENG ERIK HARVY HENDRIEK,KOMISARIS UTAMA,INDIVIDU
1344,PT INDAHSANA LESTARI JAYA,ERMA SUSYLAWATI JOYOATMOJO,DIREKTUR UTAMA,INDIVIDU
1345,PT INDAHSANA LESTARI JAYA,NARIMO NUSANTORO,KOMISARIS,INDIVIDU
1346,PT INDAHSANA LESTARI JAYA,ANGGUN RIS SUSANTI,DIREKTUR,INDIVIDU
1347,PT PASIR BELITUNG UTAMA,TRISNA THESKARTONO,KOMISARIS,INDIVIDU
1348,PT PASIR BELITUNG UTAMA,LIENAWATI THES KARTONO,,INDIVIDU
1349,PT PASIR BELITUNG UTAMA,DJEMI HAKIM,DIREKTUR,INDIVIDU
1350,PT TOMMY UTAMA,TJHANG YEAN TIN,,INDIVIDU
1351,PT TOMMY UTAMA,DE BIN LUO,DIREKTUR,INDIVIDU
1352,PT TOMMY UTAMA,TEDDY CHANDRA DJOHAN,KOMISARIS,INDIVIDU
1353,PT TOMMY UTAMA,PT TOMMY MITRA INVESTAMA,BADAN HUKUM,PERUSAHAAN
1354,PT ARCHIE EXPERANZA MANUNGGAL,NARIMO NUSANTORO,KOMISARIS,INDIVIDU
1355,PT ARCHIE EXPERANZA MANUNGGAL,HENG ERIK HARVY HENDRIEK,DIREKTUR,INDIVIDU
1356,PT ARCHIE EXPERANZA MANUNGGAL,YAYUK SRI RAHAYU,DIREKTUR UTAMA,INDIVIDU
1357,PT WAHYU EPAN YUDHISTIRA,WAHYU EPAN YUDHISTIRA,DIREKTUR,INDIVIDU
1358,PT ERA ANUGRAH JAYA,ARSYA PRAWIRA BAHARI,DIREKTUR,INDIVIDU
1359,PT ERA ANUGRAH JAYA,DIMAS PRATAMA WIDYATMOJO,KOMISARIS UTAMA,INDIVIDU
1360,PT ERA ANUGRAH JAYA,IRWIN SAHRONI,KOMISARIS,INDIVIDU
1361,PT BELITONG ANUGRAH PERTIWI,DHARMA BUDI SADELI,DIREKTUR UTAMA,INDIVIDU
1362,PT BELITONG ANUGRAH PERTIWI,ABRAHAM OKTOVIANUS WATTIMENA,KOMISARIS,INDIVIDU
1363,PT BELITONG ANUGRAH PERTIWI,RACHMADD POHAN,KOMISARIS UTAMA,INDIVIDU
1364,PT BELITONG ANUGRAH PERTIWI,DODY DAMOS MANGALOI TINAMBUNAN,DIREKTUR,INDIVIDU
1365,PT SEJAHTERA UTAMA MITRA JAYA,LAU RENCE,KOMISARIS,INDIVIDU
1366,PT SEJAHTERA UTAMA MITRA JAYA,BENNY SUTANTO,DIREKTUR,INDIVIDU
1367,PT BABEL RESOURCES,SUTTA DARMA KARNADJAJA,KOMISARIS UTAMA,INDIVIDU
1368,PT BABEL RESOURCES,RUDY WIJAYA LIONG,KOMISARIS,INDIVIDU
1369,PT BABEL RESOURCES,APE NIAGATA TJANDRA,,INDIVIDU
1370,PT BABEL RESOURCES,ANDRIANUS DAVID SIM,DIREKTUR,INDIVIDU
1371,PT BABEL RESOURCES,TONI SISWOYUDHO,DIREKTUR UTAMA,INDIVIDU
1372,PT BABEL RESOURCES,PT ANT INTERNASIONAL,BADAN HUKUM,PERUSAHAAN
1373,PT GARUDA ARTHA RESOURCES,HERRY SANTOSO,DIREKTUR,INDIVIDU
1374,PT GARUDA ARTHA RESOURCES,SANTOSO SOETANTO,DIREKTUR UTAMA,INDIVIDU
1375,PT GARUDA ARTHA RESOURCES,RATNA SHANTI SOETANTO,KOMISARIS,INDIVIDU
1376,PT GARUDA ARTHA RESOURCES,SRI REDJEKI SOETANTO,,INDIVIDU
1377,PT TRINUSA SILIKA INDONESIA,DUDY CHRISTIAN,KOMISARIS,INDIVIDU
1378,PT TRINUSA SILIKA INDONESIA,ACHMAD FEBBY FADILLAH,KOMISARIS UTAMA,INDIVIDU
1379,PT TRINUSA SILIKA INDONESIA,SURIYANTO,DIREKTUR UTAMA,INDIVIDU
1380,PT TRINUSA SILIKA INDONESIA,ANDI DEBBI YUDHISTA ASAPA,KOMISARIS,INDIVIDU
1381,PT TRINUSA SILIKA INDONESIA,PT TRINUSA BARA UTAMA,BADAN HUKUM,PERUSAHAAN
1382,PT TRINUSA SILIKA INDONESIA,PT ENERGITAMA SOLUSINDO LESTARI,BADAN HUKUM,PERUSAHAAN
1383,PT TRINUSA SILIKA INDONESIA,AFIN,DIREKTUR,INDIVIDU
1384,PT TRINUSA SILIKA INDONESIA,MOHAMMAD GENTHA PUTRA,DIREKTUR,INDIVIDU
1385,PT BUMI HERO PERKASA,KARDI DJAJA,KOMISARIS,INDIVIDU
1386,PT BUMI HERO PERKASA,SLAMET CIPTO WIJOYO,DIREKTUR,INDIVIDU
1387,PT BANGKA TIN INDUSTRY,OCEAN ESSENCE HOLDINGS LIMITED,BADAN HUKUM,INDIVIDU
1388,PT BANGKA TIN INDUSTRY,TOGAR SIANIPAR,KOMISARIS,INDIVIDU
1389,PT BANGKA TIN INDUSTRY,RICKY GUNAWAN,PRESIDEN DIREKTUR,INDIVIDU
1390,PT BANGKA TIN INDUSTRY,YONGHONG DUAN,DIREKTUR,INDIVIDU
1391,PT BANGKA TIN INDUSTRY,"SHERLY WANTO, SE",DIREKTUR,INDIVIDU
1392,PT BANGKA TIN INDUSTRY,PT NOBLE CAPITAL,BADAN HUKUM,PERUSAHAAN
1393,PT BANGKA TIN INDUSTRY,TOTO HERMAWAN LIEM,KOMISARIS UTAMA,INDIVIDU
1394,PT BANGKA TIN INDUSTRY,ANTONIUS RICHARDUS ANGGORO SETYO,DIREKTUR,INDIVIDU
1395,PT SHUBHA ALAM PERKASA RESOURCES,WASIS SRIYADI. ST. MT.,KOMISARIS,INDIVIDU
1396,PT SHUBHA ALAM PERKASA RESOURCES,"AGUNG PRIBADI, ST.",KOMISARIS UTAMA,INDIVIDU
1397,PT SHUBHA ALAM PERKASA RESOURCES,"M LUTHFI FATHUR RAHMAN, ST.",DIREKTUR UTAMA,INDIVIDU
1398,PT SHUBHA ALAM PERKASA RESOURCES,"MUHAMMAD AMIN FADHLI, ST.",DIREKTUR,INDIVIDU
1399,PT BANGKA SILICA ABADI,JAMES LOUIS,DIREKTUR,INDIVIDU
1400,PT BANGKA SILICA ABADI,DJOHAN RIDUAN HASAN,KOMISARIS,INDIVIDU
1401,PT SINAR SILICA ABADI,DJOHAN RIDUAN HASAN,KOMISARIS,INDIVIDU
